epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7789.21,1.06969,0.44753,0.98086,0.93801,0.91879,0.95603,0.69097,1.03226,0.40098,0.9967,0.0012862,0.0012862,0.0012862
43,7948.11,1.06414,0.44377,0.97744,0.93849,0.92101,0.95514,0.68588,1.0409,0.40168,1.00035,0.0012562,0.0012562,0.0012562
44,8157.66,1.0647,0.44417,0.9785,0.93968,0.92309,0.95693,0.68935,1.02886,0.4012,0.99476,0.00122596,0.00122596,0.00122596
45,8317.61,1.05807,0.43838,0.97555,0.94344,0.92211,0.95779,0.6934,1.02698,0.39629,0.99456,0.00119551,0.00119551,0.00119551
46,8567.86,1.05837,0.43661,0.97668,0.93682,0.92155,0.95543,0.68761,1.0355,0.39833,0.99797,0.00116487,0.00116487,0.00116487
47,8728.79,1.05889,0.43723,0.97635,0.94018,0.91974,0.95661,0.6895,1.03136,0.39867,0.99652,0.00113408,0.00113408,0.00113408
48,8902.58,1.05331,0.43647,0.97714,0.94136,0.92459,0.95929,0.69292,1.02925,0.39584,0.99566,0.00110317,0.00110317,0.00110317
49,9060.3,1.04457,0.43014,0.97443,0.9411,0.92426,0.95755,0.69071,1.03166,0.39631,0.99678,0.00107216,0.00107216,0.00107216
50,9264.02,1.04772,0.43319,0.97191,0.93995,0.92183,0.95644,0.69322,1.02485,0.39321,0.99501,0.0010411,0.0010411,0.0010411
51,9427.99,1.04606,0.43214,0.97475,0.93916,0.92396,0.95769,0.69215,1.03076,0.39505,0.99681,0.00101,0.00101,0.00101
52,9591.87,1.04124,0.42757,0.97156,0.94058,0.92509,0.95733,0.69251,1.03111,0.39232,0.99744,0.000978903,0.000978903,0.000978903
53,9789.42,1.03868,0.42686,0.97058,0.93893,0.92214,0.95822,0.69367,1.02834,0.39193,0.99588,0.000947837,0.000947837,0.000947837
54,9952.26,1.03863,0.42546,0.97081,0.93893,0.92524,0.95754,0.69471,1.02489,0.39013,0.99508,0.000916833,0.000916833,0.000916833
55,10164.2,1.04469,0.42534,0.96915,0.93921,0.92498,0.95813,0.69398,1.02689,0.38822,0.9947,0.00088592,0.00088592,0.00088592
56,10354.7,1.03383,0.4233,0.96887,0.94282,0.9255,0.9595,0.69472,1.02633,0.38748,0.99482,0.00085513,0.00085513,0.00085513
57,10524.1,1.03164,0.42362,0.96873,0.94076,0.92592,0.95853,0.69591,1.02232,0.38759,0.99421,0.000824492,0.000824492,0.000824492
