epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.925,1.32413,0.66398,1.08111,0.87741,0.8186,0.86643,0.5556,1.29911,0.59267,1.12744,0.0673845,0.000665622,0.000665622
2,332.368,1.2671,0.58221,1.05555,0.90169,0.831,0.90537,0.59091,1.21754,0.57144,1.06975,0.0347175,0.00133196,0.00133196
3,537.361,1.24486,0.57217,1.0495,0.91567,0.85115,0.91293,0.59995,1.19946,0.54347,1.06507,0.00204925,0.001997,0.001997
4,698.16,1.22612,0.55568,1.03877,0.91441,0.87247,0.92111,0.62337,1.16972,0.50569,1.04848,0.00199561,0.00199561,0.00199561
5,878.723,1.20411,0.54263,1.02948,0.92532,0.86256,0.92442,0.62345,1.18017,0.51027,1.05264,0.00199219,0.00199219,0.00199219
6,1037.08,1.18815,0.53099,1.02565,0.91382,0.88749,0.93035,0.63417,1.13026,0.48762,1.03624,0.00198781,0.00198781,0.00198781
7,1254.68,1.19026,0.52747,1.02181,0.9212,0.87326,0.92913,0.62238,1.17713,0.49373,1.04692,0.00198246,0.00198246,0.00198246
8,1415.02,1.17324,0.51665,1.01689,0.92631,0.89476,0.93988,0.6413,1.14229,0.47756,1.03603,0.00197616,0.00197616,0.00197616
9,1619.72,1.16979,0.51438,1.01683,0.91916,0.89695,0.94069,0.63209,1.14143,0.4871,1.03697,0.0019689,0.0019689,0.0019689
10,1781.03,1.15266,0.50943,1.00866,0.92052,0.88383,0.9377,0.65211,1.10771,0.46998,1.0285,0.00196069,0.00196069,0.00196069
11,1976.36,1.15609,0.5066,1.0104,0.92544,0.88542,0.93904,0.64637,1.12188,0.46954,1.02682,0.00195155,0.00195155,0.00195155
12,2135.11,1.16075,0.50682,1.0121,0.9235,0.89724,0.93588,0.64645,1.12824,0.45393,1.03244,0.00194147,0.00194147,0.00194147
13,2342.39,1.14519,0.50225,1.00658,0.92955,0.90028,0.94435,0.6454,1.12784,0.46318,1.03022,0.00193048,0.00193048,0.00193048
14,2501.2,1.1523,0.50419,1.00842,0.9209,0.89702,0.94486,0.65114,1.11264,0.46464,1.02295,0.00191858,0.00191858,0.00191858
15,2669.88,1.14547,0.49981,1.00813,0.92921,0.90292,0.94949,0.65536,1.12218,0.45659,1.02784,0.00190578,0.00190578,0.00190578
16,2827.25,1.14065,0.49625,1.00683,0.92451,0.8975,0.94578,0.65293,1.10092,0.45871,1.02035,0.0018921,0.0018921,0.0018921
17,3031.16,1.13857,0.49184,1.00275,0.92361,0.90507,0.94526,0.64951,1.10785,0.45724,1.02272,0.00187754,0.00187754,0.00187754
18,3189.01,1.13588,0.4917,1.00322,0.92074,0.89987,0.94384,0.65071,1.11636,0.45474,1.02505,0.00186213,0.00186213,0.00186213
19,3351.23,1.1385,0.49012,1.00178,0.93011,0.89157,0.94476,0.66073,1.08332,0.44343,1.01766,0.00184588,0.00184588,0.00184588
20,3511.62,1.13553,0.48865,1.00122,0.93396,0.90284,0.94833,0.66295,1.09137,0.44082,1.01696,0.00182881,0.00182881,0.00182881
21,3710.1,1.13121,0.48421,0.99815,0.9229,0.90152,0.9443,0.65536,1.10817,0.44418,1.02,0.00181093,0.00181093,0.00181093
22,3912.21,1.1289,0.48471,0.99946,0.92834,0.90699,0.95148,0.65672,1.11155,0.44866,1.02096,0.00179225,0.00179225,0.00179225
23,4093.04,1.12097,0.48141,0.99807,0.93204,0.90723,0.94582,0.65691,1.11767,0.4369,1.02426,0.00177281,0.00177281,0.00177281
24,4255.41,1.1195,0.47644,0.99553,0.93558,0.91296,0.95196,0.66464,1.09281,0.42739,1.01551,0.00175261,0.00175261,0.00175261
25,4440.71,1.11971,0.47523,0.99304,0.93222,0.90913,0.95122,0.66476,1.08953,0.43512,1.0139,0.00173168,0.00173168,0.00173168
26,4599.95,1.11216,0.47363,0.99393,0.93263,0.9055,0.9479,0.66746,1.08098,0.4302,1.01127,0.00171004,0.00171004,0.00171004
27,4794.39,1.11704,0.47577,0.99537,0.93602,0.91576,0.9554,0.66978,1.08537,0.42762,1.01168,0.0016877,0.0016877,0.0016877
28,4954,1.1028,0.47149,0.9914,0.93852,0.91308,0.95354,0.67999,1.05661,0.41797,1.00442,0.0016647,0.0016647,0.0016647
29,5159.85,1.09844,0.46571,0.98896,0.93348,0.91498,0.95278,0.68061,1.04436,0.41761,1.00233,0.00164105,0.00164105,0.00164105
30,5399.42,1.09429,0.46486,0.98972,0.93145,0.9125,0.95201,0.68153,1.04015,0.41438,1.00189,0.00161678,0.00161678,0.00161678
31,5599.72,1.08753,0.46208,0.98662,0.93947,0.91405,0.9566,0.67812,1.06521,0.42065,1.00707,0.00159191,0.00159191,0.00159191
32,5776.62,1.08645,0.45954,0.98768,0.93766,0.91002,0.95492,0.68355,1.04528,0.41662,1.00075,0.00156646,0.00156646,0.00156646
33,5961.9,1.08796,0.46083,0.98667,0.93666,0.91639,0.95577,0.68052,1.04889,0.41425,1.00411,0.00154047,0.00154047,0.00154047
34,6119.26,1.08264,0.45785,0.98701,0.93779,0.91363,0.95756,0.68457,1.04814,0.41604,1.00198,0.00151395,0.00151395,0.00151395
35,6336.85,1.08721,0.45759,0.98765,0.93282,0.91693,0.95301,0.68273,1.04218,0.40836,1.00302,0.00148694,0.00148694,0.00148694
36,6510.51,1.08322,0.45547,0.98669,0.93513,0.91925,0.95474,0.68518,1.04186,0.40738,1.00217,0.00145945,0.00145945,0.00145945
37,6716.09,1.08166,0.45737,0.98589,0.93589,0.91782,0.95595,0.68807,1.02967,0.40515,0.99579,0.00143152,0.00143152,0.00143152
38,6877.33,1.07699,0.45305,0.98329,0.93768,0.9225,0.95686,0.68668,1.03861,0.40615,0.99818,0.00140318,0.00140318,0.00140318
39,7097.52,1.07044,0.44808,0.98061,0.93722,0.91548,0.95494,0.68814,1.03363,0.40621,0.9977,0.00137444,0.00137444,0.00137444
40,7260.24,1.06817,0.44959,0.98053,0.93623,0.91833,0.95357,0.68598,1.03759,0.40523,0.99848,0.00134535,0.00134535,0.00134535
41,7472.51,1.05939,0.44352,0.97709,0.93896,0.91812,0.95469,0.68591,1.03851,0.40499,1.00145,0.00131593,0.00131593,0.00131593
42,7633.8,1.07044,0.4465,0.98225,0.93683,0.9215,0.95607,0.68888,1.03594,0.40136,0.99835,0.0012862,0.0012862,0.0012862
43,7836.42,1.0668,0.44451,0.97871,0.93721,0.92198,0.95347,0.68485,1.03752,0.4001,1.00008,0.0012562,0.0012562,0.0012562
44,8080.79,1.06574,0.44495,0.97969,0.93902,0.91928,0.95493,0.68788,1.02938,0.40232,0.99591,0.00122596,0.00122596,0.00122596
45,8289.67,1.05909,0.4405,0.97586,0.9381,0.91872,0.95513,0.69034,1.0275,0.39958,0.99574,0.00119551,0.00119551,0.00119551
46,8509.15,1.06001,0.43874,0.97718,0.93964,0.92039,0.95635,0.69196,1.02651,0.39653,0.99544,0.00116487,0.00116487,0.00116487
47,8701.91,1.05785,0.43774,0.97704,0.93589,0.91692,0.95425,0.6874,1.03024,0.39961,0.99778,0.00113408,0.00113408,0.00113408
48,8859.09,1.05277,0.436,0.9766,0.93932,0.92317,0.95808,0.69302,1.02637,0.39377,0.9945,0.00110317,0.00110317,0.00110317
49,9053.89,1.04595,0.4322,0.97469,0.93601,0.92027,0.95397,0.68743,1.03421,0.39628,0.99879,0.00107216,0.00107216,0.00107216
50,9217.86,1.05044,0.4343,0.97258,0.93871,0.92147,0.95629,0.69134,1.02553,0.39612,0.99563,0.0010411,0.0010411,0.0010411
51,9434.47,1.04775,0.43264,0.97474,0.93845,0.92533,0.9578,0.69088,1.02969,0.39404,0.99745,0.00101,0.00101,0.00101
52,9592.9,1.04313,0.42901,0.9721,0.93939,0.92358,0.95799,0.69265,1.02899,0.39473,0.99721,0.000978903,0.000978903,0.000978903
53,9788,1.0407,0.42868,0.97105,0.9379,0.92297,0.95851,0.69293,1.02676,0.39539,0.99561,0.000947837,0.000947837,0.000947837
54,9991.41,1.03972,0.42686,0.9714,0.94008,0.92776,0.96008,0.6953,1.02151,0.39219,0.99422,0.000916833,0.000916833,0.000916833
55,10266.4,1.04639,0.42775,0.97157,0.93962,0.92531,0.95797,0.69361,1.02278,0.39174,0.99585,0.00088592,0.00088592,0.00088592
56,10425.2,1.03579,0.42537,0.96963,0.93963,0.92261,0.95642,0.69158,1.02713,0.39214,0.99658,0.00085513,0.00085513,0.00085513
57,10633.3,1.03435,0.4262,0.96942,0.94031,0.92384,0.95768,0.6946,1.02177,0.39184,0.99429,0.000824492,0.000824492,0.000824492
58,10800.5,1.0302,0.42308,0.96906,0.9434,0.92436,0.96025,0.69542,1.01929,0.39138,0.99364,0.000794038,0.000794038,0.000794038
59,10997.6,1.02494,0.41874,0.96626,0.94119,0.92423,0.9575,0.6921,1.02235,0.39197,0.99491,0.000763797,0.000763797,0.000763797
60,11164.9,1.02355,0.41687,0.9664,0.94081,0.9272,0.95795,0.6928,1.02506,0.38927,0.99563,0.000733799,0.000733799,0.000733799
61,11382.2,1.02849,0.42006,0.9697,0.9404,0.92784,0.9583,0.69377,1.02275,0.38907,0.9945,0.000704073,0.000704073,0.000704073
62,11547.7,1.02722,0.41801,0.97014,0.93864,0.92596,0.95692,0.69337,1.02202,0.39045,0.99451,0.000674649,0.000674649,0.000674649
63,11740.2,1.02126,0.41602,0.96651,0.93791,0.9241,0.95668,0.69322,1.02436,0.39005,0.99565,0.000645557,0.000645557,0.000645557
64,11904.8,1.01481,0.41262,0.96267,0.93753,0.92554,0.9575,0.69407,1.02287,0.38967,0.99521,0.000616824,0.000616824,0.000616824
65,12130,1.01945,0.41416,0.96518,0.93825,0.92458,0.95641,0.69296,1.02211,0.3891,0.99503,0.000588479,0.000588479,0.000588479
66,12301.2,1.01754,0.41342,0.96429,0.93781,0.92595,0.95694,0.69392,1.02011,0.38879,0.99375,0.000560549,0.000560549,0.000560549
67,12495.6,1.02345,0.41491,0.96555,0.93742,0.92461,0.95613,0.69202,1.02332,0.38938,0.99497,0.000533064,0.000533064,0.000533064
68,12744.4,1.01654,0.41113,0.96397,0.93827,0.92412,0.95594,0.69167,1.02393,0.38911,0.99512,0.000506049,0.000506049,0.000506049
