epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,220.513,1.17187,0.89177,1.06266,0.50445,0.50169,0.47621,0.27006,1.56592,1.44416,1.24067,0.00164105,0.00164105,0.00164105
44,225.375,1.24115,0.95961,1.13622,0.4691,0.49492,0.45424,0.25788,1.60253,1.55295,1.26692,0.00162494,0.00162494,0.00162494
45,230.248,1.189,0.9139,1.08296,0.48388,0.44407,0.41368,0.22349,1.64198,1.75137,1.24056,0.00160855,0.00160855,0.00160855
46,235.134,1.16842,0.89484,1.06693,0.48841,0.52203,0.47136,0.26071,1.5933,1.46975,1.23764,0.00159191,0.00159191,0.00159191
47,240.074,1.14843,0.90762,1.06567,0.47082,0.4313,0.4224,0.22597,1.63645,1.75999,1.25458,0.00157501,0.00157501,0.00157501
48,244.942,1.22187,0.88927,1.10223,0.4953,0.54915,0.48612,0.2679,1.62146,1.44572,1.26258,0.00155786,0.00155786,0.00155786
49,249.826,1.15611,0.83154,1.05506,0.41788,0.63729,0.50257,0.28736,1.54818,1.47848,1.2442,0.00154047,0.00154047,0.00154047
50,254.73,1.142,0.81471,1.08766,0.50318,0.50169,0.49977,0.2806,1.58673,1.52109,1.266,0.00152285,0.00152285,0.00152285
51,259.704,1.10708,0.81203,1.04494,0.47817,0.51564,0.46132,0.26088,1.56355,1.68264,1.24943,0.001505,0.001505,0.001505
52,264.65,1.11538,0.80433,1.04477,0.52001,0.45763,0.4779,0.26527,1.61401,1.60326,1.28053,0.00148694,0.00148694,0.00148694
53,269.607,1.11384,0.76638,1.05147,0.48285,0.51525,0.483,0.27092,1.57946,1.6438,1.25505,0.00146866,0.00146866,0.00146866
