Tree_ID,X_pixel,Y_pixel,Longitude,Latitude
tree_1,1596.9862060546875,4376.259521484375,112.79611942425043,-7.285231132797089
tree_2,2430.9461669921875,4371.855224609375,112.79649696366081,-7.285227642655083
tree_3,3357.9124755859375,2712.5279541015625,112.79691362806709,-7.284475904435795
tree_4,2526.4722900390625,4106.4833984375,112.79653973205882,-7.285107513943187
tree_5,3826.682861328125,1751.2356567382812,112.797124116382,-7.284040525241999
tree_6,295.8253631591797,2191.055908203125,112.79552643494698,-7.284245685489418
tree_7,3126.5242919921875,2064.2782592773438,112.79680770775128,-7.284183289942835
tree_8,1602.5279541015625,4106.3629150390625,112.79612144721827,-7.285109120495309
tree_9,1843.15771484375,949.1032104492188,112.7962247007551,-7.2836815004418565
tree_10,3568.37255859375,3282.441162109375,112.79700993299598,-7.284733145793591
tree_11,880.5589904785156,5701.135498046875,112.79579747059843,-7.285831309085362
tree_12,1802.8341674804688,3276.36962890625,112.79621063491483,-7.284733575573397
tree_13,3802.41552734375,2835.789306640625,112.79711508346726,-7.284530823345029
tree_14,3127.34228515625,1993.6878051757812,112.79680795096019,-7.2841513792242125
tree_15,3777.558837890625,2996.5042724609375,112.79710411991488,-7.284603516577278
tree_16,3095.8758544921875,5026.536376953125,112.79679916721423,-7.28552238483049
tree_17,857.2321166992188,2735.7626953125,112.79578157281665,-7.284490902559276
tree_18,3337.5899658203125,929.7914123535156,112.79690121753227,-7.283670084433854
tree_19,381.6061706542969,974.6620483398438,112.79556308052612,-7.283695680244916
tree_20,3998.6689453125,3351.2598876953125,112.79720485887715,-7.284763480296142
tree_21,3810.875244140625,1965.5250854492188,112.79711734596013,-7.284137419646127
tree_22,2630.302734375,5244.7978515625,112.79658878758353,-7.285621883525349
tree_23,3810.905517578125,2355.67626953125,112.79711806231963,-7.284313780954454
tree_24,3343.128173828125,1649.4470825195312,112.79690502062088,-7.28399538291323
tree_25,3497.862548828125,2716.9176025390625,112.79697699353578,-7.28447763704494
tree_26,1522.9107055664062,1885.2360229492188,112.79608140507675,-7.284105239532251
tree_27,2161.92626953125,811.8507995605469,112.79636876494297,-7.28361888480032
tree_28,1096.3652954101562,3603.0999755859375,112.79589139326629,-7.284882538482976
tree_29,3784.527587890625,3190.3135986328125,112.79710762384147,-7.284691112330505
